Connecticut, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,55.9,4.9
199110,53.0,2.0
199210,48.1,-2.9
199310,48.8,-2.2
199410,50.7,-0.3
199510,54.5,3.5
199610,50.3,-0.7
199710,50.0,-1.0
199810,51.8,0.8
199910,50.1,-0.9
200010,51.1,0.1
200110,52.7,1.7
200210,49.6,-1.4
200310,49.3,-1.7
200410,50.9,-0.1
200510,52.7,1.7
200610,51.0,0.0
200710,57.8,6.8
200810,50.0,-1.0
200910,49.5,-1.5
201010,52.8,1.8
201110,53.4,2.4
201210,54.7,3.7
201310,53.4,2.4
