Mississippi, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,70.0,-1.3
199105,73.8,2.5
199205,69.4,-1.9
199305,69.3,-2.0
199405,69.4,-1.9
199505,72.7,1.4
199605,74.4,3.1
199705,68.9,-2.4
199805,74.1,2.8
199905,71.1,-0.2
200005,74.4,3.1
200105,71.7,0.4
200205,70.9,-0.4
200305,73.0,1.7
200405,72.6,1.3
200505,69.4,-1.9
200605,71.6,0.3
200705,72.2,0.9
200805,71.1,-0.2
200905,71.8,0.5
201005,74.4,3.1
201105,70.6,-0.7
201205,74.3,3.0
201305,68.9,-2.4
