North Dakota, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,69.2,2.3
199108,70.7,3.8
199208,62.8,-4.1
199308,64.5,-2.4
199408,65.7,-1.2
199508,69.5,2.6
199608,69.1,2.2
199708,67.4,0.5
199808,70.6,3.7
199908,67.3,0.4
200008,68.4,1.5
200108,70.3,3.4
200208,66.1,-0.8
200308,72.2,5.3
200408,61.5,-5.4
200508,66.1,-0.8
200608,69.1,2.2
200708,66.0,-0.9
200808,68.6,1.7
200908,64.5,-2.4
201008,69.0,2.1
201108,68.6,1.7
201208,67.4,0.5
201308,68.6,1.7
