Arizona, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,78.3,3.9
199106,71.6,-2.8
199206,73.5,-0.9
199306,74.2,-0.2
199406,79.2,4.8
199506,72.1,-2.3
199606,78.0,3.6
199706,73.8,-0.6
199806,71.8,-2.6
199906,74.5,0.1
200006,77.8,3.4
200106,77.5,3.1
200206,78.8,4.4
200306,76.3,1.9
200406,75.9,1.5
200506,74.4,0.0
200606,79.5,5.1
200706,77.3,2.9
200806,77.3,2.9
200906,73.0,-1.4
201006,75.9,1.5
201106,75.7,1.3
201206,78.7,4.3
201306,79.5,5.1
