Rhode Island, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,38.7,2.6
199103,39.8,3.7
199203,34.5,-1.6
199303,34.2,-1.9
199403,36.8,0.7
199503,39.5,3.4
199603,34.2,-1.9
199703,36.7,0.6
199803,39.9,3.8
199903,38.8,2.7
200003,42.3,6.2
200103,35.3,-0.8
200203,39.3,3.2
200303,36.8,0.7
200403,37.9,1.8
200503,33.3,-2.8
200603,37.3,1.2
200703,36.7,0.6
200803,37.9,1.8
200903,37.2,1.1
201003,43.6,7.5
201103,38.0,1.9
201203,45.5,9.4
201303,37.1,1.0
