Arkansas, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,59.6,-0.9
199104,62.7,2.2
199204,60.4,-0.1
199304,56.3,-4.2
199404,62.7,2.2
199504,60.1,-0.4
199604,58.2,-2.3
199704,56.0,-4.5
199804,59.7,-0.8
199904,63.4,2.9
200004,59.2,-1.3
200104,65.4,4.9
200204,63.6,3.1
200304,61.7,1.2
200404,60.8,0.3
200504,60.9,0.4
200604,66.5,6.0
200704,57.4,-3.1
200804,58.8,-1.7
200904,59.6,-0.9
201004,63.4,2.9
201104,63.5,3.0
201204,64.4,3.9
201304,58.5,-2.0
