Wisconsin, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,51.8,-2.8
199105,59.6,5.0
199205,56.2,1.6
199305,54.8,0.2
199405,55.4,0.8
199505,53.8,-0.8
199605,51.5,-3.1
199705,49.3,-5.3
199805,60.9,6.3
199905,58.0,3.4
200005,57.1,2.5
200105,57.0,2.4
200205,50.8,-3.8
200305,53.8,-0.8
200405,53.1,-1.5
200505,52.7,-1.9
200605,56.5,1.9
200705,59.1,4.5
200805,52.0,-2.6
200905,55.1,0.5
201005,57.6,3.0
201105,54.0,-0.6
201205,59.6,5.0
201305,55.2,0.6
