Vermont, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,30.2,3.0
199103,31.2,4.0
199203,23.8,-3.4
199303,25.2,-2.0
199403,27.1,-0.1
199503,32.3,5.1
199603,25.9,-1.3
199703,24.8,-2.4
199803,31.3,4.1
199903,28.9,1.7
200003,34.1,6.9
200103,25.2,-2.0
200203,29.7,2.5
200303,27.8,0.6
200403,31.6,4.4
200503,25.1,-2.1
200603,28.9,1.7
200703,25.8,-1.4
200803,25.8,-1.4
200903,29.6,2.4
201003,35.9,8.7
201103,27.5,0.3
201203,38.7,11.5
201303,29.5,2.3
