Delaware, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,66.0,-1.4
199109,67.0,-0.4
199209,67.3,-0.1
199309,68.4,1.0
199409,66.0,-1.4
199509,68.0,0.6
199609,68.1,0.7
199709,67.1,-0.3
199809,71.2,3.8
199909,68.6,1.2
200009,66.2,-1.2
200109,66.5,-0.9
200209,70.1,2.7
200309,69.3,1.9
200409,69.4,2.0
200509,71.9,4.5
200609,66.3,-1.1
200709,70.0,2.6
200809,69.6,2.2
200909,66.9,-0.5
201009,71.4,4.0
201109,70.7,3.3
201209,68.4,1.0
201309,66.7,-0.7
