New Jersey, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,43.3,4.0
199103,43.0,3.7
199203,38.0,-1.3
199303,36.6,-2.7
199403,38.7,-0.6
199503,43.3,4.0
199603,36.5,-2.8
199703,41.2,1.9
199803,43.2,3.9
199903,40.0,0.7
200003,45.6,6.3
200103,38.2,-1.1
200203,42.9,3.6
200303,41.3,2.0
200403,42.8,3.5
200503,37.1,-2.2
200603,41.8,2.5
200703,40.9,1.6
200803,41.7,2.4
200903,40.8,1.5
201003,46.2,6.9
201103,41.2,1.9
201203,49.8,10.5
201303,38.6,-0.7
