Arizona, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,42.7,-2.0
199102,49.2,4.5
199202,47.1,2.4
199302,44.5,-0.2
199402,43.3,-1.4
199502,50.9,6.2
199602,50.1,5.4
199702,44.7,0.0
199802,42.0,-2.7
199902,48.0,3.3
200002,48.4,3.7
200102,44.2,-0.5
200202,46.2,1.5
200302,45.5,0.8
200402,42.1,-2.6
200502,46.2,1.5
200602,47.8,3.1
200702,46.7,2.0
200802,45.0,0.3
200902,46.6,1.9
201002,44.3,-0.4
201102,41.7,-3.0
201202,45.6,0.9
201302,42.2,-2.5
