Mississippi, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,57.7,2.1
199103,57.3,1.7
199203,55.8,0.2
199303,52.4,-3.2
199403,55.8,0.2
199503,58.2,2.6
199603,51.0,-4.6
199703,60.4,4.8
199803,54.9,-0.7
199903,53.6,-2.0
200003,59.8,4.2
200103,51.7,-3.9
200203,54.9,-0.7
200303,56.4,0.8
200403,59.6,4.0
200503,53.8,-1.8
200603,57.1,1.5
200703,61.3,5.7
200803,56.3,0.7
200903,57.6,2.0
201003,52.3,-3.3
201103,57.8,2.2
201203,65.4,9.8
201303,50.4,-5.2
