New Jersey, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,50.4,1.1
199104,52.4,3.1
199204,48.3,-1.0
199304,50.3,1.0
199404,53.7,4.4
199504,49.4,0.1
199604,50.5,1.2
199704,48.4,-0.9
199804,52.4,3.1
199904,50.7,1.4
200004,49.8,0.5
200104,51.4,2.1
200204,53.9,4.6
200304,48.5,-0.8
200404,51.9,2.6
200504,52.5,3.2
200604,53.4,4.1
200704,48.6,-0.7
200804,53.0,3.7
200904,52.5,3.2
201004,55.5,6.2
201104,53.9,4.6
201204,52.6,3.3
201304,51.5,2.2
