Illinois, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,71.9,0.5
199106,75.1,3.7
199206,68.8,-2.6
199306,70.5,-0.9
199406,73.8,2.4
199506,72.3,0.9
199606,71.5,0.1
199706,70.6,-0.8
199806,71.8,0.4
199906,72.2,0.8
200006,70.3,-1.1
200106,69.8,-1.6
200206,73.9,2.5
200306,67.9,-3.5
200406,70.0,-1.4
200506,75.0,3.6
200606,71.4,0.0
200706,72.7,1.3
200806,73.2,1.8
200906,72.7,1.3
201006,74.9,3.5
201106,72.9,1.5
201206,72.6,1.2
201306,71.5,0.1
