Washington, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,31.8,-1.3
199102,40.4,7.3
199202,39.6,6.5
199302,29.8,-3.3
199402,31.7,-1.4
199502,37.8,4.7
199602,32.0,-1.1
199702,34.0,0.9
199802,37.7,4.6
199902,35.0,1.9
200002,35.2,2.1
200102,32.1,-1.0
200202,34.3,1.2
200302,35.4,2.3
200402,35.1,2.0
200502,35.8,2.7
200602,32.8,-0.3
200702,35.6,2.5
200802,35.4,2.3
200902,33.1,0.0
201002,38.5,5.4
201102,31.1,-2.0
201202,34.5,1.4
201302,35.5,2.4
