Washington, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,41.1,2.5
199103,37.4,-1.2
199203,45.1,6.5
199303,39.1,0.5
199403,42.2,3.6
199503,39.6,1.0
199603,39.2,0.6
199703,38.7,0.1
199803,41.0,2.4
199903,38.6,0.0
200003,39.1,0.5
200103,40.0,1.4
200203,35.6,-3.0
200303,41.0,2.4
200403,42.9,4.3
200503,42.7,4.1
200603,38.8,0.2
200703,41.5,2.9
200803,37.0,-1.6
200903,35.3,-3.3
201003,40.9,2.3
201103,38.4,-0.2
201203,37.6,-1.0
201303,40.2,1.6
