Kentucky, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,49.4,4.0
199103,48.3,2.9
199203,45.7,0.3
199303,42.2,-3.2
199403,44.8,-0.6
199503,48.4,3.0
199603,40.0,-5.4
199703,48.5,3.1
199803,46.5,1.1
199903,41.7,-3.7
200003,50.1,4.7
200103,41.4,-4.0
200203,45.6,0.2
200303,48.8,3.4
200403,49.3,3.9
200503,42.6,-2.8
200603,46.1,0.7
200703,53.3,7.9
200803,45.2,-0.2
200903,48.1,2.7
201003,46.5,1.1
201103,47.9,2.5
201203,58.0,12.6
201303,39.4,-6.0
